Rank,Title,Author,Category,Sub-Genre,Format,Price (USD),Rating,Reviews,Weeks on List,Publisher,Year Published,ISBN,Amazon BSR,Amazon URL
1,The Let Them Theory,Mel Robbins,Non-Fiction,Self-Help,Paperback,14.99,4.7,98000.0,52.0,Hay House,2024.0,978-1-13278-859-4,112.0,View
2,The Dinner Party,Freida McFadden,Fiction,Psychological Thriller,Paperback,11.69,4.3,1800.0,12.0,Sourcebooks Landmark,2025.0,978-3-76237-716-0,175.0,View
3,Project Hail Mary,Andy Weir,Fiction,Science Fiction,Paperback,12.99,4.8,130000.0,108.0,Ballantine Books,2021.0,978-4-30379-320-5,64.0,View
4,The Correspondent: A Novel,Virginia Evans,Fiction,Literary Fiction,Hardcover,19.58,4.6,87363.0,28.0,Random House,2025.0,978-6-20328-665-4,143.0,View
5,Atomic Habits,James Clear,Non-Fiction,Self-Help / Productivity,Paperback,16.99,4.8,120000.0,220.0,Avery,2018.0,978-7-93320-954-5,237.0,View
6,A Court of Thorns and Roses,Sarah J. Maas,Fiction,Romantasy,Paperback,11.99,4.7,85000.0,260.0,Bloomsbury Publishing,2015.0,978-6-45382-755-8,468.0,View
7,House of Flame and Shadow,Sarah J. Maas,Fiction,Romantasy,Hardcover,22.49,4.8,42000.0,32.0,Bloomsbury Publishing,2024.0,978-9-51245-317-7,460.0,View
8,Fourth Wing,Rebecca Yarros,Fiction,Romantasy,Hardcover,18.99,4.6,77000.0,50.0,Entangled: Red Tower Books,2023.0,978-9-62350-470-3,198.0,View
9,The Body Keeps the Score,Bessel van der Kolk,Non-Fiction,Psychology / Health,Paperback,16.49,4.7,95000.0,150.0,Penguin Books,2014.0,978-6-88104-579-8,81.0,View
10,The Anxious Generation,Jonathan Haidt,Non-Fiction,Psychology / Society,Hardcover,21.99,4.5,18000.0,28.0,Penguin Press,2024.0,978-7-10425-839-4,277.0,View
11,Dog Man: Big Jim Believes,Dav Pilkey,Fiction,Children's / Graphic Novel,Hardcover,9.49,4.9,12000.0,15.0,Graphix,2024.0,978-8-10074-713-5,375.0,View
12,"Oh, the Places You'll Go!",Dr. Seuss,Fiction,Children's Picture Book,Hardcover,12.99,4.9,60000.0,1200.0,Random House,1990.0,978-7-19071-878-8,387.0,View
13,It's Not Her,Mary Kubica,Fiction,Psychological Thriller,Hardcover,19.99,4.2,3500.0,8.0,Park Row,2026.0,978-3-50857-508-5,118.0,View
14,Stress Relief Coloring Book,Various Artists,Non-Fiction,Activity / Coloring,Paperback,9.99,4.6,22000.0,40.0,Independently Published,2023.0,978-9-38864-107-1,110.0,View
15,"Dad, I Want to Hear Your Story",Jeffrey Mason,Non-Fiction,Gift / Journal,Hardcover,14.99,4.8,45000.0,130.0,Hear Your Story Books,2019.0,978-8-27342-840-9,211.0,View
16,The Hunger Games Boxed Set,Suzanne Collins,Fiction,YA Dystopian,Paperback,24.99,4.8,55000.0,350.0,Scholastic Press,2010.0,978-7-17100-789-1,217.0,View
17,Memorial Days,Alysia Abbott,Non-Fiction,Memoir,Hardcover,20.0,4.5,5400.0,14.0,Norton,2025.0,978-2-46509-573-3,209.0,View
18,Atmosphere,Taylor Jenkins Reid,Fiction,Historical Fiction,Hardcover,21.0,4.6,31000.0,20.0,Ballantine Books,2025.0,978-7-73092-318-6,339.0,View
19,Wild Dark Shore,Charlotte McConaghy,Fiction,Climate Fiction,Hardcover,22.0,4.4,9800.0,18.0,Flatiron Books,2024.0,978-7-30289-294-4,81.0,View
20,How To Draw Everything,Angela Rizza,Non-Fiction,Art / Activity,Paperback,12.99,4.7,14000.0,22.0,Walter Foster Jr.,2023.0,978-0-76562-182-2,162.0,View
21,The Housemaid,Freida McFadden,Fiction,Psychological Thriller,Paperback,10.99,4.5,93000.0,93.0,Sourcebooks Landmark,2022.0,978-4-36772-785-5,4613.0,View
22,Dear Debbie,Freida McFadden,Fiction,Psychological Thriller,Paperback,11.99,4.4,8200.0,18.0,Sourcebooks Landmark,2025.0,978-1-19602-650-3,4451.0,View
23,Iron Flame,Rebecca Yarros,Fiction,Romantasy,Hardcover,21.99,4.7,55000.0,40.0,Entangled: Red Tower Books,2023.0,978-4-90173-926-8,2232.0,View
24,A Court of Silver Flames,Sarah J. Maas,Fiction,Romantasy,Paperback,12.99,4.8,72000.0,150.0,Bloomsbury Publishing,2021.0,978-4-89276-315-5,30.0,View
25,Spare,Prince Harry,Non-Fiction,Memoir,Hardcover,18.0,4.2,41000.0,60.0,Random House,2023.0,978-5-27146-752-4,296.0,View
26,Never Never,Colleen Hoover,Fiction,Contemporary Romance,Paperback,10.99,4.3,28000.0,80.0,Hoover Ink,2023.0,978-5-86350-665-2,2898.0,View
27,It Ends with Us,Colleen Hoover,Fiction,Contemporary Romance,Paperback,10.49,4.3,220000.0,200.0,Atria Books,2016.0,978-8-63264-735-2,1305.0,View
28,Ugly Love,Colleen Hoover,Fiction,Contemporary Romance,Paperback,9.99,4.2,130000.0,140.0,Atria Books,2014.0,978-1-60140-993-0,3265.0,View
29,Verity,Colleen Hoover,Fiction,Psychological Thriller,Paperback,11.49,4.5,150000.0,120.0,Grand Central Publishing,2022.0,978-5-46517-985-1,4757.0,View
30,November 9,Colleen Hoover,Fiction,Contemporary Romance,Paperback,10.99,4.4,85000.0,160.0,Atria Books,2015.0,978-4-15014-211-9,3573.0,View
31,The Midnight Library,Matt Haig,Fiction,Literary Fiction,Paperback,12.99,4.2,88000.0,90.0,Viking,2020.0,978-0-78146-925-8,3346.0,View
32,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Fiction,Literary Fiction,Paperback,14.99,4.4,62000.0,75.0,Knopf,2022.0,978-5-62743-813-4,2490.0,View
33,Lessons in Chemistry,Bonnie Garmus,Fiction,Historical Fiction,Paperback,14.49,4.5,105000.0,80.0,Doubleday,2022.0,978-4-37549-540-9,4223.0,View
34,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Fiction,Historical Fiction,Paperback,11.99,4.6,145000.0,120.0,Washington Square Press,2017.0,978-9-53933-195-3,3396.0,View
35,Daisy Jones and the Six,Taylor Jenkins Reid,Fiction,Historical Fiction,Paperback,12.99,4.4,68000.0,95.0,Ballantine Books,2019.0,978-9-35485-835-6,3806.0,View
36,Malibu Rising,Taylor Jenkins Reid,Fiction,Historical Fiction,Paperback,13.49,4.4,50000.0,70.0,Ballantine Books,2021.0,978-0-83060-355-1,3653.0,View
37,The Woman in Me,Britney Spears,Non-Fiction,Celebrity Memoir,Hardcover,20.0,4.4,37000.0,40.0,Gallery Books,2023.0,978-2-72216-560-4,2226.0,View
38,Greenlights,Matthew McConaughey,Non-Fiction,Celebrity Memoir,Hardcover,17.99,4.5,53000.0,100.0,Crown,2020.0,978-5-51904-653-1,4446.0,View
39,Think Again,Adam Grant,Non-Fiction,Business / Psychology,Paperback,15.99,4.6,40000.0,80.0,Viking,2021.0,978-7-64496-163-3,4410.0,View
40,Outlive,Peter Attia,Non-Fiction,Health / Longevity,Hardcover,22.0,4.7,32000.0,45.0,Harmony,2023.0,978-8-89069-325-7,1046.0,View
41,The Wager,David Grann,Non-Fiction,History / Adventure,Hardcover,19.99,4.6,28000.0,55.0,Doubleday,2023.0,978-9-80008-127-6,1734.0,View
42,Killers of the Flower Moon,David Grann,Non-Fiction,True Crime / History,Paperback,14.99,4.6,55000.0,150.0,Doubleday,2017.0,978-7-52840-445-6,563.0,View
43,The Creative Act,Rick Rubin,Non-Fiction,Creativity / Art,Hardcover,26.0,4.6,22000.0,60.0,Penguin Press,2023.0,978-0-14067-353-3,1375.0,View
44,Same as Ever,Morgan Housel,Non-Fiction,Business / Finance,Hardcover,19.99,4.7,18000.0,40.0,Harriman House,2023.0,978-9-89593-865-1,835.0,View
45,The Psychology of Money,Morgan Housel,Non-Fiction,Business / Finance,Paperback,14.99,4.7,65000.0,100.0,Harriman House,2020.0,978-4-99687-714-1,4016.0,View
46,Rich Dad Poor Dad,Robert Kiyosaki,Non-Fiction,Personal Finance,Paperback,12.99,4.7,180000.0,400.0,Plata Publishing,1997.0,978-1-66822-470-7,2641.0,View
47,The Subtle Art of Not Giving a F*ck,Mark Manson,Non-Fiction,Self-Help,Paperback,13.99,4.5,115000.0,200.0,HarperOne,2016.0,978-3-21359-385-7,2907.0,View
48,Can't Hurt Me,David Goggins,Non-Fiction,Self-Help / Memoir,Hardcover,18.99,4.8,72000.0,130.0,Lioncrest Publishing,2018.0,978-4-54608-386-9,1969.0,View
49,Dune,Frank Herbert,Fiction,Science Fiction,Paperback,13.99,4.7,90000.0,400.0,Ace,1965.0,978-7-94659-828-7,4535.0,View
50,Ender's Game,Orson Scott Card,Fiction,Science Fiction,Paperback,10.99,4.7,75000.0,350.0,Tor Books,1985.0,978-8-55056-535-8,980.0,View
51,Into Door,Gabor Maté,Non-Fiction,Health / Longevity,Paperback,15.64,4.3,35382.0,43.0,Scholastic Press,2019.0,978-3-48829-332-5,1571.0,View
52,The Game and Rain,Erik Larson,Non-Fiction,Gift / Journal,Hardcover,22.72,4.7,13082.0,8.0,St. Martin's Press,2019.0,978-1-18564-510-7,710.0,View
53,Last Ice,Robin DiAngelo,Non-Fiction,Science / Nature,Paperback,14.29,4.1,4947.0,44.0,Scholastic Press,2026.0,978-3-91987-316-4,5516.0,View
54,Golden Deal,Greg Bear,Fiction,Middle Grade,Paperback,16.73,4.5,5664.0,48.0,Viking,2018.0,978-9-96662-923-3,3590.0,View
55,Across Map,Doris Kearns Goodwin,Non-Fiction,Cooking / Food,Hardcover,29.24,4.1,6271.0,43.0,Plata Publishing,2012.0,978-5-89129-356-0,858.0,View
56,Nurse Rising,Malcolm Gladwell,Non-Fiction,Spirituality / Religion,Hardcover,22.3,4.4,22040.0,47.0,Ballantine Books,2015.0,978-5-63955-810-7,2473.0,View
57,Valley and Thunder,Gloria Steinem,Non-Fiction,Health / Longevity,Hardcover,19.43,4.1,41986.0,33.0,Crown,2025.0,978-4-81987-234-4,3703.0,View
58,Chasing Sky,Tamora Pierce,Fiction,YA Dystopian,Audiobook,27.94,4.7,11090.0,36.0,Hay House,2026.0,978-8-45838-525-7,3984.0,View
59,The Knight and Bone,Liane Moriarty,Fiction,Psychological Thriller,Kindle Edition,11.53,4.1,10738.0,33.0,Flatiron Books,2023.0,978-5-82340-881-8,3208.0,View
60,The Choice and Rain,Mark Manson,Non-Fiction,Spirituality / Religion,Paperback,17.68,4.2,22757.0,60.0,HarperOne,2015.0,978-1-78937-567-0,1300.0,View
61,Where Beauty,Pema Chödrön,Non-Fiction,Spirituality / Religion,Paperback,9.61,4.0,15908.0,52.0,Scholastic Press,2015.0,978-1-68153-270-4,359.0,View
62,The Ocean,Carmen Maria Machado,Fiction,Historical Fiction,Audiobook,27.38,4.0,16783.0,36.0,Ace,2026.0,978-3-70443-753-4,3888.0,View
63,Across Game,Michael J. Sullivan,Fiction,Graphic Novel,Board Book,13.96,4.6,24524.0,41.0,Howard Books,2019.0,978-4-12875-949-6,2374.0,View
64,Hero Saga,Brad Thor,Fiction,Graphic Novel,Hardcover,24.52,4.6,48995.0,13.0,Hay House,2015.0,978-5-64460-279-3,1210.0,View
65,The Grace Awakening,Lee Child,Fiction,Dark Romance,Board Book,14.01,4.3,37524.0,28.0,Harriman House,2015.0,978-0-44663-649-1,3855.0,View
66,The Villain Legacy,Doris Kearns Goodwin,Non-Fiction,Cooking / Food,Hardcover,18.51,3.7,3971.0,7.0,"Little, Brown",2019.0,978-1-22739-340-8,1243.0,View
67,Deal Reckoning,Robin DiAngelo,Non-Fiction,Science / Nature,Board Book,13.98,4.7,36682.0,46.0,Harriman House,2020.0,978-4-34878-225-7,884.0,View
68,Throne and Lightning,Raina Telgemeier,Fiction,Space Opera,Kindle Edition,11.09,4.6,40058.0,5.0,Ace,2019.0,978-2-80807-356-2,1036.0,View
69,The Throne of Ice,Nassim Taleb,Non-Fiction,Business / Finance,Kindle Edition,8.28,4.5,8146.0,33.0,Chronicle Books,2022.0,978-0-96363-633-4,3890.0,View
70,The Mind Rising,V.E. Schwab,Fiction,Fantasy,Paperback,14.69,4.1,36937.0,50.0,Workman Publishing,2020.0,978-8-48652-564-8,5099.0,View
71,The Letter Rising,Ta-Nehisi Coates,Non-Fiction,Self-Help,Paperback,11.28,4.8,32081.0,9.0,Hachette Book Group,2015.0,978-1-66606-198-5,1207.0,View
72,Quiet Clock,Charlotte McConaghy,Fiction,Literary Fiction,Hardcover,19.0,4.3,32600.0,19.0,Flatiron Books,2025.0,978-8-58176-217-4,4847.0,View
73,The Knight Fallen,Joe Abercrombie,Fiction,Crime / Detective,Hardcover,22.2,4.6,3009.0,10.0,Crown,2025.0,978-6-65028-564-5,1435.0,View
74,The Hunter of Fire,Robin DiAngelo,Non-Fiction,Productivity,Hardcover,19.79,4.7,34577.0,12.0,Bloomsbury Publishing,2020.0,978-4-98895-794-9,4134.0,View
75,How Warrior,Cal Newport,Non-Fiction,Self-Help,Paperback,15.71,4.5,47115.0,19.0,Convergent Books,2022.0,978-5-19447-506-0,3723.0,View
76,The Fire of Roses,Malcolm Gladwell,Non-Fiction,Psychology / Health,Hardcover,18.37,4.6,29552.0,42.0,Hachette Book Group,2021.0,978-6-50668-863-5,1967.0,View
77,The Plan Reborn,Jodi Picoult,Fiction,Dark Romance,Paperback,14.41,4.4,12609.0,54.0,Independently Published,2024.0,978-9-85952-559-9,5421.0,View
78,The Mirror of Fire,Adam Grant,Non-Fiction,Politics / Society,Paperback,13.06,4.0,4728.0,28.0,Macmillan Publishers,2025.0,978-1-90610-708-8,3305.0,View
79,Game Reimagined,Piers Anthony,Fiction,Historical Fiction,Hardcover,17.5,4.2,35345.0,38.0,Park Row,2023.0,978-5-47079-496-6,2929.0,View
80,The Queen and Lightning,Seth Godin,Non-Fiction,Activity / Coloring,Audiobook,21.19,3.7,43995.0,49.0,Tor Books,2024.0,978-9-21104-417-8,3245.0,View
81,Brave Earth,Publications International,Non-Fiction,Personal Finance,Paperback,17.99,4.5,7628.0,37.0,Baker Books,2025.0,978-8-14947-777-5,5224.0,View
82,The Soldier and Snow,Daniel Pink,Non-Fiction,Science / Nature,Hardcover,21.01,4.6,31737.0,58.0,WaterBrook,2017.0,978-9-67749-572-4,3292.0,View
83,The Villain Forever Changed,Orson Scott Card,Fiction,Middle Grade,Kindle Edition,6.45,4.5,29670.0,10.0,Knopf,2026.0,978-7-55820-127-6,602.0,View
84,Shadow Mirror,Liane Moriarty,Fiction,Contemporary Romance,Audiobook,24.44,4.3,10095.0,53.0,HarperOne,2024.0,978-9-10688-181-0,2264.0,View
85,The Map Method,bell hooks,Non-Fiction,Biography,Paperback,16.52,4.1,42415.0,37.0,Zondervan,2023.0,978-2-48177-539-0,5206.0,View
86,The Book Reimagined,Tahereh Mafi,Fiction,Romantasy,Audiobook,15.86,4.4,26354.0,28.0,Penguin Books,2019.0,978-5-18855-453-3,5554.0,View
87,Below Deal,Kim Stanley Robinson,Fiction,Fantasy,Kindle Edition,8.11,4.4,14072.0,7.0,Sourcebooks Landmark,2020.0,978-8-62196-934-8,4052.0,View
88,The Shadow Legacy,Demi Moore,Non-Fiction,Science / Nature,Paperback,10.67,4.5,46355.0,36.0,Scribner,2020.0,978-4-20828-844-6,822.0,View
89,The Storm of Shadows,Bob Woodward,Non-Fiction,Science / Nature,Hardcover,26.44,4.7,29504.0,22.0,Simon & Schuster,2024.0,978-1-97973-752-6,3154.0,View
90,The Hope and Thunder,Ryan Holiday,Non-Fiction,Productivity,Hardcover,29.32,4.2,25380.0,33.0,Riverhead Books,2025.0,978-2-79397-475-6,2755.0,View
91,The Day Rising,Carmen Maria Machado,Fiction,Climate Fiction,Paperback,17.24,4.3,5853.0,33.0,Zondervan,2017.0,978-7-21506-929-5,5652.0,View
92,The Mountain Saga,Dean Koontz,Fiction,YA Romance,Kindle Edition,4.23,4.4,37308.0,41.0,Vintage,2020.0,978-2-90209-188-1,2717.0,View
93,Into Love,Vince Flynn,Fiction,YA Romance,Hardcover,24.63,4.4,33955.0,60.0,Bloomsbury Publishing,2013.0,978-8-30056-411-2,1512.0,View
94,Throne of Thorns,Eckhart Tolle,Non-Fiction,Biography,Paperback,14.76,4.3,39784.0,42.0,Convergent Books,2017.0,978-9-89316-445-9,525.0,View
95,Land Revealed,Peter F. Hamilton,Fiction,Urban Fantasy,Hardcover,22.89,4.3,28238.0,35.0,Entangled: Red Tower Books,2022.0,978-9-28830-420-5,3019.0,View
96,City Chronicles,Patrick Rothfuss,Fiction,Dark Romance,Paperback,17.5,4.3,41329.0,31.0,Ballantine Books,2018.0,978-5-85718-838-5,1747.0,View
97,Nurse Revealed,Emily St. John Mandel,Fiction,Climate Fiction,Paperback,9.44,3.9,43877.0,48.0,Anchor Books,2022.0,978-0-24089-541-2,2360.0,View
98,Sky and Bone,Ibram X. Kendi,Non-Fiction,Politics / Society,Kindle Edition,6.51,4.4,41844.0,48.0,Tor Books,2023.0,978-1-61629-482-5,4765.0,View
99,The Key Undone,Ryan Holiday,Non-Fiction,Cooking / Food,Hardcover,23.69,4.2,11649.0,30.0,Baker Books,2026.0,978-4-87820-444-8,4373.0,View
100,The Mind and Bone,Joyce Meyer,Non-Fiction,Activity / Coloring,Paperback,9.45,4.7,32486.0,15.0,Thomas Nelson,2022.0,978-9-59832-251-3,458.0,View
101,Deal Untold,Greg Bear,Fiction,Science Fiction,Paperback,10.86,4.2,8809.0,14.0,Atria Books,2020.0,978-7-79878-450-8,3104.0,View
102,Sky Unleashed,Barack Obama,Non-Fiction,Spirituality / Religion,Hardcover,24.28,4.7,13231.0,25.0,Bloomsbury Publishing,2019.0,978-9-98686-656-6,3436.0,View
103,The River of Glass,Matthew Stover,Fiction,Children's Picture Book,Hardcover,18.77,4.2,4172.0,3.0,Scribner,2024.0,978-3-93616-338-0,1026.0,View
104,Doctor Approach,Octavia Butler,Fiction,Middle Grade,Paperback,15.91,4.2,10887.0,20.0,Baker Books,2018.0,978-0-32946-527-2,505.0,View
105,Beauty Fallen,Workman Publishing,Non-Fiction,Business / Finance,Audiobook,17.67,4.2,13451.0,5.0,Thomas Nelson,2020.0,978-7-94972-363-2,325.0,View
106,Beneath Hero,Patricia A. McKillip,Fiction,YA Romance,Paperback,11.22,4.4,4472.0,14.0,IVP Books,2018.0,978-4-53204-409-9,4905.0,View
107,Hope Reckoning,James Dashner,Fiction,Middle Grade,Hardcover,19.84,4.5,12450.0,21.0,Howard Books,2020.0,978-8-71712-875-8,5654.0,View
108,The Night Code,Charlotte McConaghy,Fiction,Horror,Hardcover,19.13,4.5,14199.0,18.0,WaterBrook,2021.0,978-3-86434-600-1,4396.0,View
109,Deal Method,Freida McFadden,Fiction,Paranormal Romance,Kindle Edition,9.19,4.6,1244.0,19.0,Macmillan Publishers,2026.0,978-7-14159-393-6,1692.0,View
110,The Hate Forever Changed,Alan Dean Foster,Fiction,Crime / Detective,Paperback,10.14,4.5,3848.0,28.0,Penguin Books,2010.0,978-4-70686-789-8,3694.0,View
111,Broken Hate,Andy Weir,Fiction,Climate Fiction,Paperback,9.29,4.1,997.0,9.0,Harriman House,2025.0,978-7-40715-652-3,684.0,View
112,Fierce Teacher,Matthew Stover,Fiction,Science Fiction,Audiobook,32.58,4.2,3069.0,22.0,Vintage,2024.0,978-7-16145-452-6,4520.0,View
113,The Light of Ice,David Grann,Non-Fiction,Cooking / Food,Hardcover,29.57,4.3,4178.0,10.0,Harmony,2018.0,978-1-68954-967-5,983.0,View
114,Last Mirror,Colleen Hoover,Fiction,Graphic Novel,Paperback,10.7,4.4,12348.0,5.0,IVP Books,2025.0,978-7-41797-812-9,5993.0,View
115,Before Book,Gloria Steinem,Non-Fiction,Spirituality / Religion,Paperback,17.82,3.9,3528.0,13.0,HarperCollins,2020.0,978-9-39002-859-2,362.0,View
116,Night Saga,Michael Pollan,Non-Fiction,Personal Finance,Kindle Edition,8.39,4.5,12054.0,22.0,Independently Published,2025.0,978-2-56160-273-2,6132.0,View
117,The Strength Legacy,Piers Anthony,Fiction,Climate Fiction,Hardcover,17.78,4.0,8116.0,23.0,Random House,2022.0,978-8-82305-521-0,371.0,View
118,Across Moon,Kelly Link,Fiction,Horror,Hardcover,27.59,4.0,4579.0,27.0,Park Row,2021.0,978-6-70161-678-3,5947.0,View
119,How Strength,Mercedes Lackey,Fiction,Historical Fiction,Kindle Edition,9.79,4.1,1762.0,30.0,HarperCollins,2023.0,978-3-37710-988-9,4133.0,View
120,Prince of Ice,Virginia Evans,Fiction,Cozy Mystery,Paperback,16.5,5.0,6575.0,23.0,Entangled: Red Tower Books,2026.0,978-6-28343-909-1,4342.0,View
121,Brave Game,Daniel Pink,Non-Fiction,Spirituality / Religion,Paperback,17.46,4.1,11024.0,14.0,Chronicle Books,2015.0,978-4-42302-830-1,914.0,View
122,After Knight,N.K. Jemisin,Fiction,Children's Picture Book,Paperback,10.68,4.6,7553.0,19.0,Lioncrest Publishing,2023.0,978-1-13442-191-5,4784.0,View
